Age [ka],d18O GRIP,T GRIP,d18O GoM,Pa/Th
5.2,-34.9196,-31.350864689999984,,
5.25,-35.05125,-31.568767718749978,,
5.3,-35.04666666666667,-31.57274822916665,,
5.35,-34.837999999999994,-31.26378494999998,,
5.4,-34.885416666666664,-31.31882296874998,,
5.45,-34.97541666666667,-31.429664010416644,,
5.5,-34.88291666666667,-31.274134552083314,,0.058
5.55,-34.768750000000004,-31.12335365624999,,0.058
5.6,-34.66739130434783,-30.988993184782604,,
5.65,-34.73826086956522,-31.084551978260862,,0.052
5.7,-34.79086956521739,-31.15578044565215,,0.052
5.75,-34.65260869565218,-30.934450880434774,,
5.8,-34.81652173913044,-31.236487086956508,,
5.85,-34.915416666666665,-31.392559406249983,,
5.9,-34.73652173913043,-31.078863782608686,,0.042
5.95,-34.94434782608696,-31.417485630434765,,0.042
6.0,-35.003478260869564,-31.52113910869563,,
6.05,-34.948181818181816,-31.398154249999973,,
6.1,-34.88913043478261,-31.30859292391302,,
6.15,-34.83136363636363,-31.23643687499998,,
6.2,-34.8,-31.177830065217375,,
6.25,-34.83478260869565,-31.207955239130417,,
6.3,-35.00173913043478,-31.45941667391303,,
6.35,-34.91782608695653,-31.327812554347815,,
6.4,-34.87095238095238,-31.266328464285692,,
6.45,-34.9147619047619,-31.350330488095217,,
6.5,-34.74999999999999,-31.083725583333305,,
6.55,-34.75454545454545,-31.07111124999999,,
6.6,-34.840454545454556,-31.19142462499999,,
6.65,-34.83545454545455,-31.208947999999985,,
6.7,-34.662857142857135,-30.950805642857123,,
6.75,-34.60238095238095,-30.857540702380934,,
6.8,-34.8385,-31.22022371249999,,
6.85,-34.93863636363637,-31.368553874999996,,
6.9,-34.72952380952382,-31.077026976190464,,
6.95,-34.67700000000001,-30.99506842499998,0.9847831342619335,
7.0,-34.809,-31.16518342499998,1.137728252131282,
7.05,-34.80333333333333,-31.154178749999986,1.0438022653087626,0.045
7.1,-34.873999999999995,-31.311851374999982,0.8809927539738615,0.045
7.15,-34.80238095238096,-31.197163869047603,0.8997993264130715,
7.2,-34.682105263157894,-30.978354605263146,0.9342499617113766,
7.25,-34.43631578947368,-30.62540498684209,0.9675268828100129,
7.3,-34.480000000000004,-30.694180199999984,1.0710513888207216,0.05
7.35,-34.64772727272728,-30.92436037499999,1.232516161999827,0.05
7.4,-34.6145,-30.859280437499983,1.1267808905129482,
7.45,-34.69809523809525,-30.985690571428556,0.9331986981422011,
7.5,-34.71000000000001,-31.001183416666652,0.9323194230013883,
7.55,-34.60000000000001,-30.857550274999987,0.8723683578175295,
